Ram,Price_euros,Intel,Intel_baja,Intel_media,Intel_alta,AMD,Gaming,Ultrabook,Notebook,Nvidia,Nvidia_Geforce,Nvidia_graphics,Intel_graphics,Screen_HD,SSD,HDD,HDD+SSD,ppi
8,749.0,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,100.45466986113651
4,449.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,1460.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,165.6321180513006
16,2868.99,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,282.42399616439724
8,1713.37,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,176.23257360658386
12,1099.0,true,false,false,false,false,false,false,false,true,false,false,false,true,true,true,true,141.21199808219862
4,415.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
8,1142.8,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
8,1193.0,true,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,157.3505121487356
16,1600.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
4,309.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,855.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,141.21199808219862
8,1119.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
6,649.0,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,141.21199808219862
4,499.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,111.93520355955211
8,1096.16,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,141.21199808219862
4,629.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,157.3505121487356
6,549.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
32,4899.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,282.42399616439724
8,854.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,127.33567457123111
4,646.27,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,224.17380907857276
6,655.01,false,false,false,false,true,false,false,true,false,false,false,false,true,false,true,false,127.33567457123111
8,1389.0,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,125.36742798669837
16,1379.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
8,2712.0,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,282.42399616439724
4,389.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
4,559.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
6,695.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,141.21199808219862
4,306.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,980.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,157.3505121487356
8,728.0,true,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,141.21199808219862
8,1265.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
8,895.0,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,141.21199808219862
4,614.0,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,100.45466986113651
4,359.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,141.21199808219862
6,597.57,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,141.21199808219862
4,369.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
4,369.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
4,367.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,1049.9,true,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,141.21199808219862
8,1119.91,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
8,1094.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,141.21199808219862
8,659.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,141.21199808219862
8,1427.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
8,495.0,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,135.0942111925629
8,1268.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,157.3505121487356
4,418.64,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
4,479.0,true,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,141.21199808219862
16,2139.97,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,220.53462386625827
4,1030.99,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,157.3505121487356
4,397.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
8,1579.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
8,726.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
4,347.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
4,649.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
8,1725.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
4,1096.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
8,1529.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
2,239.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,157.3505121487356
8,1925.0,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,141.21199808219862
4,414.9,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
4,469.0,true,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,100.45466986113651
4,278.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,111.93520355955211
8,1449.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,165.6321180513006
8,1089.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
8,1908.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,176.23257360658386
8,1099.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
8,629.0,true,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,100.45466986113651
4,345.99,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
4,349.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,111.93520355955211
8,1062.95,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
4,348.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,844.0,true,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,141.21199808219862
32,6099.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,254.67134914246222
4,349.0,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,100.45466986113651
16,2499.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
4,535.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
8,2296.95,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,176.23257360658386
4,475.0,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,135.0942111925629
8,1584.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,176.23257360658386
16,1549.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,127.33567457123111
8,899.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,165.6321180513006
8,839.0,true,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,165.6321180513006
32,2799.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,165.6321180513006
4,451.0,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,100.45466986113651
8,1099.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,true,true,141.21199808219862
8,880.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
